player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
DeVonta Smith,PHI,WR,16,2025,85.0,0.95,0.06,0.83,0.05
Emeka Egbuka,TB,WR,16,2025,86.0,0.95,0.06,0.79,0.05
Kimani Vidal,LAC,RB,12,2025,87.0,0.9,0.08,-0.01,-0.0
Hunter Henry,NE,TE,16,2025,88.0,0.9,0.06,0.23,0.01
Christian Watson,GB,WR,10,2025,89.0,0.88,0.09,0.84,0.08
Dalton Schultz,HOU,TE,16,2025,90.0,0.86,0.05,0.26,0.02
Woody Marks,HOU,RB,15,2025,91.0,0.85,0.06,-0.23,-0.02
Garrett Wilson,NYJ,WR,7,2025,92.0,0.85,0.12,0.77,0.11
Jordan Love,GB,QB,15,2025,93.0,0.84,0.06,,
Tyrone Tracy Jr.,NYG,RB,14,2025,94.0,0.84,0.06,-0.12,-0.01
Rome Odunze,CHI,WR,12,2025,95.0,0.82,0.07,0.65,0.05
Sam LaPorta,DET,TE,9,2025,96.0,0.8,0.09,0.47,0.05
Aaron Jones Sr.,MIN,RB,12,2025,97.0,0.78,0.06,0.05,0.0
Jacory Croskey-Merritt,WAS,RB,16,2025,98.0,0.73,0.05,-0.5,-0.03
Kareem Hunt,KC,RB,16,2025,99.0,0.73,0.05,-0.41,-0.03
Kyle Monangai,CHI,RB,16,2025,100.0,0.73,0.05,-0.43,-0.03
Dalton Kincaid,BUF,TE,11,2025,101.0,0.72,0.07,0.29,0.03
Ladd McConkey,LAC,WR,16,2025,102.0,0.71,0.04,0.62,0.04
Jauan Jennings,SF,WR,14,2025,103.0,0.7,0.05,0.7,0.05
Justin Jefferson,MIN,WR,16,2025,104.0,0.68,0.04,0.68,0.04
