player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Will Mallory,IND,TE,2,2025,262.0,-0.28,-0.14,-0.37,-0.19,-0.4,-0.2
Jacoby Jones,WAS,WR,2,2025,263.0,-0.28,-0.14,-0.35,-0.18,-0.38,-0.19
Corey Kiner,ARI,RB,3,2025,264.0,-0.28,-0.09,-0.55,-0.18,-0.59,-0.2
Nathan Carter,ATL,RB,3,2025,265.0,-0.29,-0.1,-0.56,-0.19,-0.6,-0.2
Bryce Oliver,TEN,WR,2,2025,266.0,-0.31,-0.15,-0.39,-0.19,-0.42,-0.21
Kirk Cousins,ATL,QB,9,2025,267.0,-0.31,-0.03,0.22,0.02,,
Antonio Gibson,NE,RB,5,2025,268.0,-0.31,-0.06,-0.7,-0.14,-0.76,-0.15
Thomas Fidone II,NYG,TE,2,2025,269.0,-0.32,-0.16,-0.42,-0.21,-0.45,-0.23
Stephen Carlson,CHI,TE,2,2025,269.0,-0.32,-0.16,-0.42,-0.21,-0.45,-0.23
Zach Wood,NO,TE,2,2025,269.0,-0.32,-0.16,-0.42,-0.21,-0.45,-0.23
